degree,level,nu,dofs,errorStandard,errorStress
4,0,0.3,1730,0.0008723537046475391,0.000885026063852836
4,1,0.3,6786,5.754078460278517e-05,5.785576095267876e-05
4,2,0.3,26882,3.6792652567150125e-06,3.6811716001575696e-06
