degree,level,nu,dofs,errorStandard,errorStress
1,0,0.3,146,0.3702632448644248,0.3623076424415391
1,1,0.3,546,0.22914531695949572,0.2236854754996748
1,2,0.3,2114,0.27547729740110327,0.29343937143318366
