degree,dofs,level,nu,E,gamma,errorStandard,errorStress
2,258,0,0.3,1.0,1000.0,0.17068011276195508,0.2533841996636641
2,258,0,0.49,1.0,1000.0,0.4708979763743974,1.1364084462962445
2,258,0,0.4999,1.0,1000.0,0.6443573247169938,1.6040337885056521
2,258,0,0.499999,1.0,1000.0,0.6479114260468597,1.6144517022604823
2,258,0,0.5,1.0,1000.0,0.22515562523342747,0.20874930417571264
2,962,1,0.3,1.0,1000.0,0.04739396419443646,0.07950796271018319
2,962,1,0.49,1.0,1000.0,0.22079119980582837,0.6076756350935257
2,962,1,0.4999,1.0,1000.0,0.540558522315028,1.5529893812670448
2,962,1,0.499999,1.0,1000.0,0.569918808390923,1.6438700470838317
2,962,1,0.5,1.0,1000.0,0.1591619697666688,0.15727397495233056
2,3714,2,0.3,1.0,1000.0,0.012149336688357899,0.02175076930783242
2,3714,2,0.49,1.0,1000.0,0.08751188281434696,0.2573619377328071
2,3714,2,0.4999,1.0,1000.0,0.4648806292344717,1.386879883935138
2,3714,2,0.499999,1.0,1000.0,0.5519720146488014,1.6518259874119314
2,3714,2,0.5,1.0,1000.0,0.15045656824784842,0.15382088295204138
