degree,level,nu,dofs,errorStandard,errorStress
2,0,0.3,482,0.0711520066278969,0.07031082025121
2,1,0.3,1858,0.018885366249564616,0.01861173147350156
2,2,0.3,7298,0.005883073436495582,0.005864024928576991
