degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
5,1362,0,0.5,1.0,1000.0,0.001015938146094471,0.000964966142927025
5,5282,1,0.5,1.0,1000.0,3.788030958964592e-05,3.6000118478763835e-05
5,20802,2,0.5,1.0,1000.0,1.3186164107497578e-06,1.255886253420293e-06
