degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
3,530,0,0.3,1.0,1000.0,0.03444144098249688,inf
3,530,0,0.49,1.0,1000.0,0.06354568292682193,inf
3,530,0,0.4999,1.0,1000.0,0.08470894138172012,inf
3,530,0,0.499999,1.0,1000.0,0.08513017937799554,inf
3,530,0,0.5,1.0,1000.0,0.08513448635978908,0.051671840053041034
3,2018,1,0.3,1.0,1000.0,0.004375549534230765,inf
3,2018,1,0.49,1.0,1000.0,0.009367545172387476,inf
3,2018,1,0.4999,1.0,1000.0,0.019858936090461562,inf
3,2018,1,0.499999,1.0,1000.0,0.020278984200074707,inf
3,2018,1,0.5,1.0,1000.0,0.020283429556045,0.020373844342709516
3,7874,2,0.3,1.0,1000.0,0.0005405021964545538,inf
3,7874,2,0.49,1.0,1000.0,0.0010282744550367416,inf
3,7874,2,0.4999,1.0,1000.0,0.004665229488399096,inf
3,7874,2,0.499999,1.0,1000.0,0.00503886843212489,inf
3,7874,2,0.5,1.0,1000.0,0.0050433186284687586,0.009965920954382916
