degree,dofs,level,nu,E,gamma,errorStandard,errorStress
1,82,0,0.3,1.0,1000.0,0.5886672415390036,0.7028182631055404
1,82,0,0.49,1.0,1000.0,1.0082295880841299,2.155559099549735
1,82,0,0.4999,1.0,1000.0,1.4171154112660866,3.458456667673039
1,82,0,0.499999,1.0,1000.0,1.4257195529107423,3.4851951749601118
1,82,0,0.5,1.0,1000.0,0.6150900123821182,0.590858966272332
1,290,1,0.3,1.0,1000.0,0.3344711561126869,0.4762801567835597
1,290,1,0.49,1.0,1000.0,0.9987158330713548,2.5763718231289534
1,290,1,0.4999,1.0,1000.0,2.486905188257083,7.119291072213748
1,290,1,0.499999,1.0,1000.0,2.5674043690337265,7.364653497069701
1,290,1,0.5,1.0,1000.0,0.7408058591078404,0.7307096123606038
1,1090,2,0.3,1.0,1000.0,0.1701194274020105,0.27426975702804013
1,1090,2,0.49,1.0,1000.0,0.8809017511268814,2.5077541809423125
1,1090,2,0.4999,1.0,1000.0,4.414067549403662,13.160433890347223
1,1090,2,0.499999,1.0,1000.0,4.993710126649105,14.918656773038471
1,1090,2,0.5,1.0,1000.0,1.3623714928797,1.390517731029839
