degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
5,1362,0,0.3,1.0,1000.0,0.0008221380378870283,inf
5,1362,0,0.49,1.0,1000.0,0.0013352833419400633,inf
5,1362,0,0.4999,1.0,1000.0,0.0015694643105868648,inf
5,1362,0,0.499999,1.0,1000.0,0.0015728177218642151,inf
5,1362,0,0.5,1.0,1000.0,0.0015728517504029042,0.0009579614809582618
5,5282,1,0.3,1.0,1000.0,2.6541425343767598e-05,inf
5,5282,1,0.49,1.0,1000.0,4.5314256033768636e-05,inf
5,5282,1,0.4999,1.0,1000.0,5.828260437485544e-05,inf
5,5282,1,0.499999,1.0,1000.0,5.8488255108073554e-05,inf
5,5282,1,0.5,1.0,1000.0,5.849034460896488e-05,3.5737950041897596e-05
5,20802,2,0.3,1.0,1000.0,8.289767039631839e-07,inf
5,20802,2,0.49,1.0,1000.0,1.4615361836603197e-06,inf
5,20802,2,0.4999,1.0,1000.0,2.003212130589621e-06,inf
5,20802,2,0.499999,1.0,1000.0,2.0122438429217124e-06,inf
5,20802,2,0.5,1.0,1000.0,2.0123356681237125e-06,1.247099997868831e-06
