degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure,errorStress,errorIncompressibility
3,530,0,0.5,1.0,1000.0,0.13127375108902573,0.07370589081975167,0.07401226143476743,0.00909820552069774
3,2018,1,0.5,1.0,1000.0,0.024896830062236277,0.026426793911068638,0.026407885479179882,0.009111615501331794
