degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
3,530,0,0.5,1.0,1000.0,0.0851344863597913,0.05167184005311287
3,2018,1,0.5,1.0,1000.0,0.02028342955604477,0.020373844342693494
3,7874,2,0.5,1.0,1000.0,0.005043318628470396,0.009965920954387702
