degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
1,82,0,0.3,1.0,1000.0,0.5814583123294073,inf
1,82,0,0.49,1.0,1000.0,0.7651370253349001,inf
1,82,0,0.4999,1.0,1000.0,0.8892586835375825,inf
1,82,0,0.499999,1.0,1000.0,0.8917170275643866,inf
1,82,0,0.5,1.0,1000.0,0.8917421283426112,0.5875654557525006
1,290,1,0.3,1.0,1000.0,0.3247202977679121,inf
1,290,1,0.49,1.0,1000.0,0.5723921733381284,inf
1,290,1,0.4999,1.0,1000.0,0.8605167042610162,inf
1,290,1,0.499999,1.0,1000.0,0.8721275623234147,inf
1,290,1,0.5,1.0,1000.0,0.8722502712554058,0.7293536347772699
1,1090,2,0.3,1.0,1000.0,0.1624447769433241,inf
1,1090,2,0.49,1.0,1000.0,0.3483632406656771,inf
1,1090,2,0.4999,1.0,1000.0,0.8232729378784299,inf
1,1090,2,0.499999,1.0,1000.0,0.8664252354200321,inf
1,1090,2,0.5,1.0,1000.0,0.8669396157382907,1.3941878151275235
