degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
1,82,0,0.3,1.0,1000.0,0.528596402234689,0.5072418859560724
1,82,0,0.49,1.0,1000.0,0.6782720692463543,0.652976147682404
1,82,0,0.4999,1.0,1000.0,0.8286649689205291,0.8112773233858385
1,82,0,0.499999,1.0,1000.0,0.8314601811666714,0.8142457479194392
1,290,1,0.3,1.0,1000.0,0.36441758382754114,0.35037837828488533
1,290,1,0.49,1.0,1000.0,0.6413974423773512,0.6555935482056227
1,290,1,0.4999,1.0,1000.0,1.3108060508579966,1.4089407583909388
1,290,1,0.499999,1.0,1000.0,1.3396452680961157,1.441366233591318
