degree,level,nu,dofs,errorStandard,errorStress
5,0,0.3,2642,6.757190163177672e-05,6.911221708548775e-05
5,1,0.3,10402,2.2170902642305193e-06,2.2455307085944633e-06
5,2,0.3,41282,7.209705110446157e-08,7.275194199870617e-08
