degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
1,82,0,0.5,1.0,1000.0,0.891742128342611,3.3572916378704245
1,290,1,0.5,1.0,1000.0,0.8722502712554019,5.431477867373253
