degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure,errorStress,errorIncompressibility
5,1362,0,0.5,1.0,1000.0,0.017404127833063054,0.0020689067493404553,0.024557560417178527,0.009111776613545276
5,5282,1,0.5,1.0,1000.0,9.614423832884885e-05,6.573229298472695e-05,0.00011081212917451166,0.009111786115553983
