degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
4,898,0,0.3,1.0,1000.0,0.005641177423218528,inf
4,898,0,0.49,1.0,1000.0,0.010307212870008176,inf
4,898,0,0.4999,1.0,1000.0,0.013385536158201827,inf
4,898,0,0.499999,1.0,1000.0,0.013432682569732877,inf
4,898,0,0.5,1.0,1000.0,0.013433161336863937,0.007817343510312415
4,3458,1,0.3,1.0,1000.0,0.00037713850939193494,inf
4,3458,1,0.49,1.0,1000.0,0.0006734521837033707,inf
4,3458,1,0.4999,1.0,1000.0,0.0008541692583212679,inf
4,3458,1,0.499999,1.0,1000.0,0.0008568610776181864,inf
4,3458,1,0.5,1.0,1000.0,0.0008568884031213927,0.0004961744994824435
4,13570,2,0.3,1.0,1000.0,2.4143378414053943e-05,inf
4,13570,2,0.49,1.0,1000.0,4.153743751280765e-05,inf
4,13570,2,0.4999,1.0,1000.0,5.076170302696386e-05,inf
4,13570,2,0.499999,1.0,1000.0,5.0893935020406386e-05,inf
4,13570,2,0.5,1.0,1000.0,5.0895276698553345e-05,2.9601079569222637e-05
