degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure,errorStress,errorIncompressibility
3,530,0,0.5,1.0,1000.0,0.20748244548689496,0.08852508272187469,0.19865519966165304,0.009102082166282211
3,2018,1,0.5,1.0,1000.0,0.024644303329254356,0.027363620998350685,0.03334560481517804,0.009111615257147865
3,7874,2,0.5,1.0,1000.0,0.0050618711260235405,0.013320369914769346,0.006210180915251051,0.009111783250903852
