degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
4,898,0,0.5,1.0,1000.0,1.4332230778441944e-05,0.005723867507531993
4,3458,1,0.5,1.0,1000.0,8.723931351960385e-07,0.00037857591218906243
4,13570,2,0.5,1.0,1000.0,5.3079520175212195e-08,2.399798678517848e-05
4,53762,3,0.5,1.0,1000.0,3.2584717311427106e-09,1.5051854237223744e-06
