degree,dofs,level,nu,E,gamma,errorDisplacement,errorPressure
3,530,0,0.5,1.0,1000.0,0.001302494232823023,0.03255202607505337
3,2018,1,0.5,1.0,1000.0,0.00033010282995999123,0.004329929315668904
3,7874,2,0.5,1.0,1000.0,8.428713481627792e-05,0.0005543199616707368
3,31106,3,0.5,1.0,1000.0,2.1348440847158037e-05,7.861745900507227e-05
